,Job Title,Company,Location,Job Url,Unnamed: 0
482,Senior Back End Developer,Strategic Employment Partners,"New York, NY",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CLSf-jfoHigW1cBjtGRtm6_23EvXrANN9AHlQMkGJBizw6o_nPNEHjovrvSNfLPBJhunp1iI_hMXJNEwPedglJpoNe855E0w-A0IGzQ59ig9Pxc175ESMseeYaBlYlE8L-2B-AyVrffnYk62ZpSFojHA_Kp1NmtrfB2aXSJ-O44nFfXykGh6YCtBNxVRx7iOan7CvjCmhvBQ5tMD1PKrooB96SGAuESPjzXeQeN7_Fv3rWr9GdeJvOv58khNZDf_IwTClutVTHnLMgU31ZZ-kmFKUtep1fanNHhH1vYnXhRfm-fWpy17jw22J1TlEYx4G8gVsenIQZzg4lWmWcqSy12ffAXfmmYvQgc6qpDmVjIVuUgKXLwoU9ZSszsguNQYZjR4eAvxQVIIDs49EyitDuFue0v_yjLLIQAM6ZyGUFb43hzWsS2Tuy87anRbw2hPQ=&p=12&fvj=1&vjs=3,
483,Customer Engineer,Capital Markets Gateway,"New York, NY",https://www.indeed.com/rc/clk?jk=e3097bbbef2e434d&fccid=c43c7cd348d6b26b&vjs=3,
484,QR Lead,Hap Capital,"New York, NY",https://www.indeed.com/rc/clk?jk=3cf699c48f1ace91&fccid=db0af0ad6162783b&vjs=3,
485,DATA ENGINEER,OnPoint,"New York, NY",https://www.indeed.com/rc/clk?jk=88ebb71a4297237a&fccid=8524d30bbfaa4720&vjs=3,
486,Data Scientist,Dataminr,New York State,https://www.indeed.com/rc/clk?jk=806551462f23e604&fccid=181ae1a6390e21b5&vjs=3,
487,Full Stack Software Developer,Ehconic LLC,"New York, NY",https://www.indeed.com/company/Ehconic-LLC/jobs/Full-Stack-Software-Developer-96e90e6741fd9129?fccid=92c3d08454cdf1fa&vjs=3,
488,"Vice President/Associate, Insight Consulting Team: Quantitative Development and Analysis",Bank of America,"New York, NY",https://www.indeed.com/rc/clk?jk=9377863e62074601&fccid=5bd99dfa21c8a490&vjs=3,
489,Data Strategist,Indeed,"New York, NY",https://www.indeed.com/rc/clk?jk=56bbe0fca726e14a&fccid=d6ef41e202aa2c0b&vjs=3,
490,Data Engineer,CVS Health,"New York, NY",https://www.indeed.com/rc/clk?jk=86b848d299ec3197&fccid=be3b11aa573faee7&vjs=3,
491,Full-Stack Engineer,Komodo Health,"New York, NY",https://www.indeed.com/rc/clk?jk=f8e2bee0128b19fb&fccid=086cb533b5438773&vjs=3,
492,Product Analyst,Current,"New York, NY",https://www.indeed.com/rc/clk?jk=8e609ae61ce46204&fccid=8a7b5aeadd1affdd&vjs=3,
493,"Administrator, Business Intelligence",1800flowers.com,"Carle Place, NY",https://www.indeed.com/company/1--800--Flowers.com/jobs/Administrator-555e9519494ca8ee?fccid=2591a885cb58d5d6&vjs=3,
494,Quantitative Analyst,KKI Capital,"New York, NY",https://www.indeed.com/rc/clk?jk=d73984c9f635272e&fccid=2b84f8204d39aa3a&vjs=3,
495,Associate Solutions Architect,Confluent,"New York, NY",https://www.indeed.com/rc/clk?jk=eeb1e5fad409000a&fccid=281afef2f966dcf1&vjs=3,
496,"Associate Manager, Data Science",Harnham,"New York, NY",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARICpNo1DhGqfodICOss3ZS6QdhS5AHh5hrs_CHOPYqyMBbpKreu8_0VPK2YpEpLYrxVvG81rRoTMk1IU6ZR4w5JcJzOPpCcI6Xga2oBRx8ITDQIsoGUxfedDcy_CebppFIrGN9P6amOVAtvFp58opx-MYc3rG7fPUiayXQAmcaami5tSjBhKHQIMoUOC20RRpxk1cUV-zwKPjBvZrS7jrWb3oBL4eP-5jEmIMEPrlOmS3XBl2B4e1FLUftx6spHuO4RYH_-mDbYLdfHsg5eVFLFj4ofdb6WdiBQ50Uekt_ZRHKvgow7r-0OmF3FBwWVVmwaA9S8Por3QtCS2jNsW37oyVzgH3HqUnmjo0xpDsVrNBOl2lgpmMg8aPjg4GRKvNpu3mwvkh2loIf-zBi9znU9xMD9Lm7IEtWaCjZhQINak6YuA3qyUqoXV9LG2BW6AFoxs9TQrVc01VmNsKPohg9AIdreGfymTJ7AI8MDNXG7odcTISCy5VmT7izFFiUh6Tsi8OkI8ZS2EJ34mPJpV8vkejXMYQHzhEl1aYWGkg_0gWd7bPxkCHfj7sRibTkPYOJedMQ2Bbm-vqxttTc5tYC66M1PTSwKyJwv_X2WR1oWliHaiUOFm01d7-E_Gn9UMpWXsWkZs4gsZb3X21hzRgvWRLurWxWAnilrmu6ZmScUHoUec_RfWV0tIffdY3GKQ=&p=11&fvj=0&vjs=3,
