,Job Title,Company,Location,Job Url
49,Software Engineer,Stony Brook University,"Stony Brook, NY",https://jobs.github.com/positions/b11ec718-64fa-4d56-96e7-0f067959192d
50,Senior Software Developer (7+ years of experience),Children's Miracle Network Hospitals,Salt Lake City. UT ,https://jobs.github.com/positions/c14ae244-519f-43b4-9969-e1580deaff05
51,Junior Web Developer,"Alta Planning + Design, Inc.","Portland, OR",https://jobs.github.com/positions/732a81ac-14cb-4fe5-8678-ced5f5fd6a01
52,Senior Frontend Engineer - Remote,EventMobi,Remote,https://jobs.github.com/positions/cd91e908-4316-4315-91b9-3f3879932e0b
53,Softwareentwickler JavaScript / TypeScript / Angular E-Health Innovation (m/w/d),CompuGroup Medical SE & Co. KGaA,Koblenz,https://jobs.github.com/positions/a73ba2dc-6846-4d47-bce4-e898a4c6f8d3
54,Full Stack Developer (Ruby + React stack),Startupz,remotely,https://jobs.github.com/positions/5a59ed8b-69bc-4919-8ad9-9cec588fb0fd
55,Product Manager,Relationship One,Minneapolis,https://jobs.github.com/positions/bea5ff52-9ab8-4c9a-9783-e14d93eef2b7
56,Junior Back end Developer,Ignitia AB,Portugal,https://jobs.github.com/positions/4910f242-f057-450c-ada3-b7fd94db3348
57,Full Stack Developer ,Ignitia AB,Sweden,https://jobs.github.com/positions/51a1518e-d701-40bc-9496-146f56fa70a5
58,Embedded Software Developer (m/w/d) für Batteriesysteme,Futavis GmbH,Alsdorf (Germany),https://jobs.github.com/positions/260c55c3-a860-4ee7-8162-132f4173a994
59,Mid – Senior Node.js Developer,TeleSoftas,Vilnius,https://jobs.github.com/positions/b3eb0069-76f4-4d23-9b41-af3f6040734c
60,Engineering Manager,SmartLogic,Remote,https://jobs.github.com/positions/74b0a32f-205a-42d5-818f-6c3cf238ca96
61,Senior Software Developer,Everest Reinsurance ,"Warren, NJ",https://jobs.github.com/positions/43659ace-f912-4fc6-9d0d-a09d3b477df9
62,Senior Backend Engineer,Employa,Remote ,https://jobs.github.com/positions/017147d0-0a3c-455c-97d5-7488c63b93e7
63,"R0099680 - Network Engineer, Mid",Booz Allen,"Laurel, MD",https://jobs.github.com/positions/09fa929a-6d5f-46d9-9dbf-c1e8eadd7f15
64,"R0099679 - Cloud Software Engineer, Senior",Booz Allen,"Laurel, MD",https://jobs.github.com/positions/71bdb8e0-6f4d-445f-84f5-3ea8e2f3c2c3
65,"R0099678 - Malware Reverse Engineer, Mid",Booz Allen,"Annapolis Junction, MD",https://jobs.github.com/positions/81156bdd-6aae-49af-a0d3-fd205ed92045
66,"R0099677 - Malware Reverse Engineer, Senior",Booz Allen,"Annapolis Junction, MD",https://jobs.github.com/positions/ae486007-cc47-4415-a30c-bfdf1c27e3d2
67,Senior Full Stack Ruby Engineer,Bookshoppe Ltd,United Kingdom,https://jobs.github.com/positions/487660e1-4fb6-46b7-840e-452d3295b797
68,Technical Consultant,Accruent,Sao Leopoldo,https://jobs.github.com/positions/dbeac659-e7f3-4615-a2b9-95ab9dca809e
69,Software Developer (m/f/d) Backend - Tonie Manufacturing System,Boxine GmbH,Düsseldorf,https://jobs.github.com/positions/4d32faa5-2c2b-4b4e-b8b9-4953aa9d7dcf
70,Freelance Full Stack Developers (Remote),Tokyo.,Remote,https://jobs.github.com/positions/25702549-dcf6-48ce-9ba2-27a65f8887eb
71,Cloud Support Engineer (Magento),Platform.sh,"Austin, Texas USA",https://jobs.github.com/positions/9b72814f-0a1d-4526-86a0-a02fa8891fe2
72,Engineering Manager,Pixelberry Studios,"Mountain View, CA",https://jobs.github.com/positions/79da435a-598c-43e6-a012-bfab1c841065
73,Software Engineer - Kuali Financials,Kuali.co,Anywhere,https://jobs.github.com/positions/f70e80a9-e98d-4e61-8a50-b6092fb47dfa
74,Full Stack Engineer ,Expensify ,Remote,https://jobs.github.com/positions/5cb0284f-d65a-4a48-bd8e-467eef213857
75,Senior Android Developer,Velocity,REMOTE/USA,https://jobs.github.com/positions/bf77f961-86c8-4ec2-ba69-2d1185326919
76,Full Stack Developer,TubeScience,"Remote, US",https://jobs.github.com/positions/db0ff9f6-966c-4376-956f-c9f393d9fce8
77,Softwareentwickler (m/w/d) C++,"CGM Deutschland AG,",Hannover,https://jobs.github.com/positions/c7da0b89-4eb4-4d24-bca7-191355736e01
78,Staff Engineer,Clearbanc,Remote,https://jobs.github.com/positions/19d79848-97bd-45a0-82cb-b4566a994d5e
79,Expert Data Engineer (m/w/d),Alexander Thamm GmbH,"Munich, Berlin, Leipzig, Stuttgart, Frankfurt",https://jobs.github.com/positions/056eb12e-6c6d-44a7-ad91-e69133743c98
80,Front-End Developer,Relationship One,remote position,https://jobs.github.com/positions/42cae8c4-e30e-4a85-a8f7-14ae6daf2ef6
81,Senior Frontend Engineer ,IMG.LY,remote,https://jobs.github.com/positions/4ee2864c-df86-47fe-bc97-670f306e7cb4
82,"Software Engineer | Backend, Front-end, SDK/Integrations",Torus Labs Private Limited,Singapore/Remote,https://jobs.github.com/positions/6b4c12e9-d92f-4d2a-b496-7706a1369f9c
83,C/C++ Developer,9elements,Bochum ,https://jobs.github.com/positions/a8b3411d-fd31-4915-affa-d95cbef7da31
84,Platform Engineer / IT Operations (m/w/d),lawpilots GmbH,Berlin,https://jobs.github.com/positions/a1604e3e-a4bd-42d0-8e1c-e43cc43b69a1
85,Senior Software Engineer C#,IFS,"Christians Brygge 28, København, Denmark",https://jobs.github.com/positions/ed742d0b-22df-46e3-a37b-f3376731e6f1
86,Software Engineer - Product,TrialSpark,New York,https://jobs.github.com/positions/a6b51547-5cbe-4a04-8f36-0a6c3c00cfcc
87,Sr. DevOps Engineer,Compudyne,"St. Paul, MN",https://jobs.github.com/positions/166674ef-ff92-47d0-a727-748bd23bfdde
88,Senior Backend Software Engineer,WELL Health,United States,https://jobs.github.com/positions/98701506-35a3-4490-807c-73e5f4066d45
