,Job Title,Company,Location,Job Url
144,Machine Learning Scientist ,COMPASS Pathways,"London, UK or New York",https://jobs.github.com/positions/c7b1822a-61f8-44c6-9afb-6e841f7fe8e1
145,Software Engineering and IT Project Manager ,COMPASS Pathways,"London, UK or New York",https://jobs.github.com/positions/ced5b561-e6f7-47fd-a342-cf3649d5a999
146,Data Scientist,COMPASS Pathway,"London, UK or New York",https://jobs.github.com/positions/46ab8bfe-de3b-4210-9fa6-656b728f2508
147,Full Stack Software Engineer,https://compasspathways.com/,"London, UK or New York",https://jobs.github.com/positions/bc7fe726-f520-4ed1-83eb-82774852f794
148,DevOps Engineer,COMPASS Pathways plc,"London, UK or New York",https://jobs.github.com/positions/c708e6b8-b786-4ee6-8c7a-0d93eb9c557a
149,UI/UX Designer,COMPASS Pathways,"London, UK or New York",https://jobs.github.com/positions/199c6911-28ee-491d-be3b-3514da4e63d9
150,Senior Software Engineer,Quantcast,London,https://jobs.github.com/positions/7f8942aa-7eff-445b-8496-a9487cdb68f4
151,Head of Software Engineering (m/w/d),ndgit,Munich,https://jobs.github.com/positions/5b6dce56-199e-48d3-91a1-46309446150e
152,Senior BackEnd Engineer - Finance (f/m/d),fotograf.de / GotPhoto,Berlin,https://jobs.github.com/positions/2bab688a-f8cf-4588-aa44-defbd86a4493
153,Back End Developer,Vaultoro,Berlin,https://jobs.github.com/positions/6f7ca396-7c8f-4cac-9e3d-40a95ef4e333
154,Back End Developer,Excelerate America,"Detroit, MI",https://jobs.github.com/positions/e55930c6-0db3-4fad-ab97-094b074a3648
155,Senior UX Designer/Web-Developer/Senior Web-Designer Frontend (m/w/d),cusati media GmbH,Remote,https://jobs.github.com/positions/5d895623-9318-4477-842c-2bdc59ee7bf0
156,Senior Frontend Engineer,Remote,Anywhere,https://jobs.github.com/positions/3cc340d4-6662-4a10-8a53-f7cb571427b3
157,Full Stack Developer,www.yourhippo.com,Home Based / Preston,https://jobs.github.com/positions/0e110dc3-1ab8-439f-a0cb-8296217a60fe
158,Remote DevOps Engineer,Scopic Software,Remote,https://jobs.github.com/positions/80a23680-0958-4daa-8e99-dfde25e6e839
159,Software developer Web Application (m/f/d),Unicon Software Entwicklungs- und Vertriebs GmbH,Karlsruhe,https://jobs.github.com/positions/0081e8ff-a2e4-45a1-a433-c8f74407d488
160,Software developer Enterprise Server (m/f/d),Unicon Software Entwicklungs- und Vertriebs GmbH,Karlsruhe,https://jobs.github.com/positions/f2884d49-2a5f-47ab-a2aa-b08678b162e6
161,Software developer Linux (m/f/d),Unicon Software Entwicklungs- und Vertriebs GmbH,Karlsruhe,https://jobs.github.com/positions/d6bc086d-2a27-4066-9633-1047f677b70d
162,Full stack engineer,Linktree,Sydney,https://jobs.github.com/positions/ca60044c-4a26-4d35-a7a5-c5364bd9e977
163,DevOps Platform Engineer,PGGM,Zeist,https://jobs.github.com/positions/1c159416-0491-435e-a675-07a6cd267401
164,Distinguished Eng.-Platform Unification,PayPal,"San Jose, CA",https://jobs.github.com/positions/cb287f27-8e08-4677-88e5-4d025a1fee08
165,Full Stack Engineer,SocialVenu,Remote (North America Only),https://jobs.github.com/positions/bb7b1579-105c-44f8-9d8a-d0c7d7160806
166,"Senior/Principal Engineer, Backend - Remote",Project Admission,Remote ,https://jobs.github.com/positions/e2fe258e-687b-4e9a-8c72-bc96f17feedf
167,Python Software Enginer ,Channable ,Utrecht (The Netherlands),https://jobs.github.com/positions/568f9a99-186d-4001-8f02-4d3aed7e0b9e
168,API Engineer / API Developer,ExpressVPN,Singapore,https://jobs.github.com/positions/3c0a7081-3d11-4d88-97ff-3230ac9d7662
169,Server-side Software Developer,ExpressVPN,London / Poznan / Remote,https://jobs.github.com/positions/c05204de-9a30-4b5d-9e53-4db079155253
170,Core/Backend Engineer,Playco,Remote,https://jobs.github.com/positions/46ab84b4-12dc-4a95-ab08-422428554dfc
171,Senior DevOps Engineer,PAI Health,"Vancouver, British Columbia",https://jobs.github.com/positions/fbc2dac0-f271-4258-961d-464f0cb6c80f
172,Senior Full Stack Engineer,PAI Health,"Vancouver, British Columbia",https://jobs.github.com/positions/aa02f7d8-f353-4885-a51d-073613afbc42
173,Software Development Team Lead,PAI Health,"Vancouver, British Columbia",https://jobs.github.com/positions/65f747a3-4a1f-47b3-8caf-1d92f6d0a39e
174,Data Analytics Engineer,Cognate BioServices,"Memphis, TN ",https://jobs.github.com/positions/c1d87c76-9f54-44b2-807c-983109e7c503
175,Backend Developer (m/w/d),Limango,Munich,https://jobs.github.com/positions/6b9326ee-7b5a-4346-95ea-a2e5ac4b7e81
176,Java Developer,Picnic Technologies BV,Amsterdam,https://jobs.github.com/positions/148384d7-0fd0-4663-b888-119325b05d0d
177,Developer tech hub HROffice in Utrecht,HROffice,Utrecht,https://jobs.github.com/positions/d4b2f167-45b2-42a2-bc1b-7684996c0c47
178,Lead SaaS Engineer - AWS React Django,"DocVocate, Inc.","Portland, Oregon or US West Coast",https://jobs.github.com/positions/85ba20ff-912e-40c9-98c2-1cfe050dfe90
179,Lead Engineer,avoMD,Remote in the US,https://jobs.github.com/positions/1731001f-91e1-415e-a865-898a9f1279fa
180,Senior Software Engineer,Inficon,"East Syracuse, NY, US 13057",https://jobs.github.com/positions/bdbcfdbd-8082-438a-b72e-19329f10c1ed
181,CI/CD Engineer (m/f/d),Parity Technologies,Berlin/Remote,https://jobs.github.com/positions/0f5223c5-650a-4a97-be13-a45eb5e3f639
182,Site Reliability Engineer,Rails Machine,REMOTE,https://jobs.github.com/positions/72dd792b-5789-4451-b403-9510d0e478d3
183,Senior Software Engineer ,PVH,Amsterdam,https://jobs.github.com/positions/493d2348-2d02-4ee6-8c3e-e4e72da01af8
184,Support Engineer (Hasura Cloud),Hasura,Remote,https://jobs.github.com/positions/6986e1a2-990e-4386-9ca7-80a56293a4b3
185,Senior DevOps / Site Reliability Engineer (SRE) - Hasura Cloud,Hasura,Remote,https://jobs.github.com/positions/81f1d6e5-1d71-4142-8216-f8629ef88019
186,Fullstack Web Developer,Hasura,Remote,https://jobs.github.com/positions/bbe1e167-f135-4b0c-9d78-2f1825b6dac8
187,Fullstack engineer (React.js/Scala) (m/f/d),airfocus,Hamburg,https://jobs.github.com/positions/4e26ede3-b242-4366-8b99-22ecf8405ce1
188,Senior Frontend Developer,Wired Relations,Copenhagen,https://jobs.github.com/positions/7045ea85-c536-4891-8a90-8857f4ef4d34
189,Senior Fullstack Engineer - Javascript,VISI/ONE GmbH,Berlin,https://jobs.github.com/positions/37d79e89-f50f-459a-bc29-76e499cd4cba
190,Software Engineer (Data Focus) (all genders),FRIDAY,Berlin,https://jobs.github.com/positions/1a2d2306-3510-4ee2-945d-4c2217d35c24
191,Senior Enterprise Software Engineer (Kotlin),Ikayzo,United States,https://jobs.github.com/positions/377e8e58-7bd1-45ca-8ccf-4d633381d4c8
192,Senior Software Developer (Remote Available),InMotion Hosting,Virginia Beach ,https://jobs.github.com/positions/75e06ee5-aed7-40c5-8e97-c906f6dff08f
193,Full Stack Developer,NJI Media,"Alexandria, VA",https://jobs.github.com/positions/f72115bb-319a-4d82-beed-e0fd4fb5be39
194,BI-architect,VolkerWessels Telecom,Amersfoort ,https://jobs.github.com/positions/a66b7899-6d6a-4be4-8fef-f0364fbdd0d0
195,Fullstack Developer (m/w/d),Expert Systems AG,Berlin,https://jobs.github.com/positions/d0814933-08b2-408d-82e6-d4b49ea01b5a
196,Senior Backend Engineer (Kotlin/Spring boot),Superside,Remote/Europe,https://jobs.github.com/positions/7d20a54c-244b-4d92-9c6b-66c85cdbf876
197,Backend Engineer (f/m/d/x),SoundCloud,Berlin,https://jobs.github.com/positions/11db89a9-5b43-4deb-9780-81b3deb46005
198,"Data Engineer, Insights & Royalties (f/m/d/x)",SoundCloud,Berlin,https://jobs.github.com/positions/00bcd48b-d062-4db7-9971-ea18ec6c563c
199,Node.js Backend Engineer (m/f/d),lengoo GmbH,"Berlin, Germany",https://jobs.github.com/positions/7d842069-8242-4a7d-bbda-08d0fd5fcb1b
200,Front-end Team Lead (React / Blockchain),Binance,Singapore,https://jobs.github.com/positions/adc996fe-5e04-40ec-bb50-45f4059f0de6
201,Software Engineer* Dynamics 365,PERI,"Weissenhorn, Germany",https://jobs.github.com/positions/241a62bb-3a28-476c-85c0-f9b19b7c3f49
202,Senior Software Engineer,Welcome,Remote | NYC,https://jobs.github.com/positions/43ddd9a4-4c49-46a0-8b3e-6f1b3e7c522b
203,Frontend Engineer,Parade,Remote,https://jobs.github.com/positions/a01151be-f939-48e7-9ce8-2d15cf88ce65
204,Senior Software Engineer,Rigado,"Portland, OR or Remote",https://jobs.github.com/positions/2940d1d6-767a-44dd-814a-f8e923bac67c
205,Solution Architect (m/w/d),ALDI Einkauf GmbH & Co. oHG,Essen,https://jobs.github.com/positions/e5948998-64f6-4186-9bdb-bf71aeb5fc01
206,Marketing Data Engineer (m/w/d),advalyze GmbH,Berlin,https://jobs.github.com/positions/6bb39f1f-18a1-45ec-b985-696e2f5a698b
